CountryCode,SIDST10TH10,SIDST50MD,SLUEMTOTLNEZS
AFG,..,..,..
ALB,..,..,11.4654998779297
DZA,..,..,..
ASM,..,..,..
AND,..,..,..
AGO,..,..,..
ATG,..,..,..
ARB,..,..,..
ARG,..,..,9.84270000457764
ARM,..,..,..
ABW,..,..,..
AUS,..,..,5.15999984741211
AUT,..,..,4.48659992218018
AZE,..,..,4.84999990463257
BHS,..,..,..
BHR,..,..,..
BGD,..,..,..
BRB,..,..,..
BLR,..,..,4.15999984741211
BEL,..,..,5.35970020294189
BLZ,..,..,..
BEN,..,..,..
BMU,..,..,..
BTN,..,..,..
BOL,..,..,3.82170009613037
BIH,..,..,15.692099571228
BWA,..,..,..
BRA,..,..,11.9333000183105
VGB,..,..,..
BRN,..,..,6.92309999465942
BGR,..,..,4.22989988327026
BFA,..,..,..
BDI,..,..,..
CPV,..,..,11.289999961853
KHM,..,..,..
CMR,..,..,..
CAN,..,..,5.66260004043579
CSS,..,..,..
CYM,..,..,..
CAF,..,..,..
CEB,..,..,3.77751285103249
TCD,..,..,..
CHI,..,..,..
CHL,..,..,7.29029989242554
CHN,..,..,5.15000009536743
COL,..,..,9.96140003204346
COM,..,..,..
COD,..,..,..
COG,..,..,..
CRI,..,..,11.4905996322632
CIV,..,..,..
HRV,..,..,6.61660003662109
CUB,..,..,..
CUW,..,..,..
CYP,..,..,7.07359981536865
CZE,..,..,2.01430010795593
,,,
DNK,..,..,5.0177001953125
DJI,..,..,..
DMA,..,..,..
DOM,..,..,6.35599994659424
EAR,..,..,..
EAS,..,..,4.2657497656916
TEA,..,..,4.3991620251002
EAP,..,..,4.3991620251002
ECU,..,..,3.81209993362427
EGY,..,..,..
SLV,..,..,4.16989994049072
GNQ,..,..,..
ERI,..,..,..
EST,..,..,4.44820022583008
SWZ,..,..,..
ETH,..,..,..
EMU,..,..,7.56056748297264
ECS,..,..,6.68058545085595
TEC,..,..,6.79163974728594
ECA,..,..,7.35843760862209
EUU,..,..,6.70548653437733
FRO,..,..,..
FJI,..,..,..
FIN,..,..,6.69469976425171
FCS,..,..,..
FRA,..,..,8.44340038299561
PYF,..,..,..
GAB,..,..,..
GMB,..,..,..
GEO,..,..,11.565299987793
DEU,..,..,3.13910007476807
GHA,..,..,..
GIB,..,..,..
GRC,..,..,17.3129997253418
GRL,..,..,..
GRD,..,..,..
GUM,..,..,..
GTM,..,..,..
GIN,..,..,..
GNB,..,..,..
GUY,..,..,..
HTI,..,..,..
HPC,..,..,..
HIC,..,..,4.79656148368966
HND,..,..,5.6975998878479
HKG,..,..,2.96000003814697
HUN,..,..,3.41910004615784
IBD,..,..,..
IBT,..,..,..
IDB,..,..,..
IDX,..,..,..
IDA,..,..,..
ISL,..,..,3.50740003585815
IND,..,..,..
IDN,..,..,3.62100005149841
IRN,..,..,11.1400003433228
IRQ,..,..,..
IRL,..,..,4.94920015335083
IMN,..,..,..
ISR,..,..,3.80299997329712
ITA,..,..,9.95139980316162
JAM,..,..,7.71500015258789
JPN,..,..,2.40000009536743
JOR,..,..,16.8500003814697
KAZ,..,..,4.80000019073486
KEN,..,..,..
KIR,..,..,..
PRK,..,..,..
KOR,..,..,3.74589991569519
XKX,..,..,25.5562000274658
KWT,..,..,..
KGZ,..,..,..
LAO,..,..,..
,,,
LTE,..,..,5.57246634058363
LCN,..,..,8.22106782971444
LAC,..,..,8.27413359803885
TLA,..,..,8.22076946759623
LVA,..,..,6.31209993362427
LDC,..,..,..
LBN,..,..,..
LSO,..,..,..
LBR,..,..,..
LBY,..,..,..
LIE,..,..,..
LTU,..,..,6.25519990921021
LMY,..,..,..
LIC,..,..,..
LMC,..,..,..
LUX,..,..,5.59469985961914
MAC,..,..,1.70000004768372
MDG,..,..,..
MWI,..,..,..
MYS,..,..,3.30999994277954
MDV,..,..,..
MLI,..,..,..
MLT,..,..,3.39459991455078
MHL,..,..,..
MRT,..,..,..
MUS,..,..,..
MEX,..,..,3.48280000686646
FSM,..,..,..
MEA,..,..,..
TMN,..,..,..
MNA,..,..,..
MIC,..,..,..
MDA,..,..,5.09899997711182
MCO,..,..,..
MNG,..,..,10.0271997451782
MNE,..,..,15.1229000091553
MAR,..,..,..
MOZ,..,..,..
MMR,..,..,0.503400027751923
NAM,..,..,..
NRU,..,..,..
NPL,..,..,..
NLD,..,..,3.3798999786377
NCL,..,..,..
NZL,..,..,4.07100009918213
NIC,..,..,..
NER,..,..,..
NGA,..,..,8.5310001373291
NAC,..,..,3.88924059847374
MKD,..,..,17.2574005126953
MNP,..,..,..
NOR,..,..,3.68720006942749
INX,..,..,..
OED,..,..,5.3834696940848
OMN,..,..,..
OSS,..,..,..
PSS,..,..,..
PAK,..,..,..
PLW,..,..,..
PAN,..,..,4.73920011520386
PNG,..,..,..
PRY,..,..,6.59469985961914
PER,..,..,3.02990007400513
PHL,..,..,2.23729991912842
POL,..,..,3.27729988098145
PRT,..,..,6.46299982070923
PST,..,..,4.98810602772656
PRE,..,..,..
PRI,..,..,8.30000019073486
QAT,..,..,..
ROU,..,..,3.91170001029968
RUS,..,..,4.49569988250732
RWA,..,..,15.3016996383667
WSM,..,..,..
SMR,..,..,5.80000019073486
STP,..,..,..
SAU,..,..,..
SEN,..,..,..
SRB,..,..,10.3948001861572
SYC,..,..,2.95070004463196
SLE,..,..,..
SGP,..,..,3.09999990463257
SXM,..,..,..
SVK,..,..,5.75419998168945
SVN,..,..,4.44579982757568
SST,..,..,..
SLB,..,..,..
SOM,..,..,..
ZAF,..,..,28.4680995941162
SAS,..,..,..
TSA,..,..,..
SSD,..,..,..
ESP,..,..,14.1042003631592
LKA,..,..,4.78999996185303
KNA,..,..,..
LCA,..,..,15.5860996246338
MAF,..,..,..
VCT,..,..,..
SSF,..,..,..
TSS,..,..,..
SSA,..,..,..
SDN,..,..,..
SUR,..,..,..
SWE,..,..,6.83260011672974
CHE,..,..,4.39410018920898
SYR,..,..,..
TJK,..,..,..
TZA,..,..,..
THA,..,..,0.716400027275085
TLS,..,..,..
TGO,..,..,..
TON,..,..,..
TTO,..,..,..
TUN,..,..,15.1338996887207
TUR,..,..,13.6654996871948
TKM,..,..,..
TCA,..,..,..
TUV,..,..,..
UGA,..,..,..
UKR,..,..,8.1943998336792
ARE,..,..,2.22699999809265
GBR,..,..,3.73720002174377
USA,..,..,3.66919994354248
UMC,..,..,6.1810039726712
URY,..,..,9.35070037841797
UZB,..,..,..
VUT,..,..,..
VEN,..,..,..
VNM,..,..,2.03979992866516
VIR,..,..,..
PSE,..,..,25.3404006958008
WLD,..,..,..
YEM,..,..,..
ZMB,..,..,..
ZWE,..,..,16.8565998077393
